"time","funciontransferencia.y"
1.94,0.3398559122496143
1.96,0.34218124591564814
1.98,0.34448833935347917
2,0.3467773331808638
2.02,0.3490483664792052
2.04,0.35130159676072237
2.06,0.3535371628646612
2.08,0.3557552018124761
2.1,0.3579558534336348
2.12,0.3601392543886926
2.14,0.3623055205385069
2.16,0.3644547945432277
2.18,0.3665872071532178
2.2,0.368702887640308
2.22,0.3708019749694294
2.24,0.3728846112401891
2.26,0.3749509190383696
2.28,0.37700102878347813
2.3,0.3790350702045488
2.32,0.38105314140299845
2.34,0.3830553772513015
2.36,0.38504191010809197
2.38,0.38701286665605056
2.4,0.3889683692131973
2.42,0.39090851162898393
2.44,0.39283343480227156
2.46,0.39474326145814653
2.48,0.39663811432169566
2.5,0.3985181022100226
2.52,0.40038333342996474
2.54,0.40223393802564794
2.56,0.40407003530378827
2.58,0.40589174457110155
2.6,0.40769914983631267
2.62,0.40949237468620675
2.64,0.4112715394246844
2.66,0.4130367587283288
2.68,0.4147881422325201
2.7,0.4165257711027184
2.72,0.41824977458430657
2.74,0.4199602632345209
2.76,0.421657347610597
2.78,0.42334112602678736
2.8,0.42501169405120276
2.82,0.4266691641190618
2.84,0.4283136395751868
2.86,0.4299452229622512
2.88,0.431564016020779
2.9,0.43317011968914526
2.92,0.43476363410357594
2.94,0.436344658598148
2.96,0.4379132902059796
2.98,0.43946961865689044
3,0.44101374551104144
3.02,0.44254576591043837
3.04,0.44406577411408904
3.06,0.4455738634980034
3.08,0.4470701265551934
3.1,0.44855465489567303
3.12,0.4500275392464582
3.14,0.4514888694515666
3.16,0.45293874849876814
3.18,0.45437725903462484
3.2,0.4558044874315851
3.22,0.45722052125141954
3.24,0.458625447255273
3.26,0.46001935140366434
3.28,0.46140231885648647
3.3,0.46277443397300644
3.32,0.4641357803118657
3.34,0.46548645360511887
3.36,0.4668265418559324
3.38,0.4681561183803881
3.4,0.4694752652842967
3.42,0.4707840639821015
3.44,0.4720825951968774
3.46,0.4733709389603326
3.48,0.4746491746128063
3.5,0.47591738080327095
3.52,0.4771756384360817
3.54,0.47842403671513467
3.56,0.47966264393115915
3.58,0.4808915370314209
3.6,0.482110792339612
3.62,0.48332048555585205
3.64,0.484520691756688
3.66,0.48571148539509357
3.68,0.4868929403004701
3.7,0.48806512967864574
3.72,0.48922812965984613
3.74,0.4903820105949745
3.76,0.4915268436879973
3.78,0.4926626999249571
3.8,0.493789649685095
3.82,0.49490776274085024
3.84,0.49601710825786044
3.86,0.4971177547949617
3.88,0.49820977030418817
3.9,0.4992932242359723
3.92,0.5003681840481883
3.94,0.5014347147614676
3.96,0.5024928821681205
3.98,0.5035427514703275
4,0.5045843872801383
4.02,0.5056178536194726
4.04,0.5066432139201197
4.06,0.5076605310237382
4.08,0.5086698693448645
4.1,0.5096712980414311
4.12,0.5106648735787197
4.14,0.5116506575071673
4.16,0.512628710907055
4.18,0.5135990943942514
4.2,0.5145618681259584
4.22,0.515517091806456
4.24,0.5164648246928475
4.26,0.5174051256008041
4.28,0.5183380529103115
4.3,0.5192636645714125
4.32,0.5201820181099542
4.34,0.5210931701363525
4.36,0.5219971717097777
4.38,0.5228940829270351
4.4,0.5237839592603221
4.42,0.5246668557462674
4.44,0.5255428269899912
4.46,0.5264119271691654
4.48,0.527274210038073
4.5,0.5281297289316679
4.52,0.5289785367696359
4.54,0.5298206860604537
4.56,0.5306562289054491
4.58,0.5314852170028608
4.6,0.5323077016518988
4.62,0.5331237385560017
4.64,0.5339333753499618
4.66,0.5347366621944879
4.68,0.5355336491345627
4.7,0.5363243858619717
4.72,0.5371089217203134
4.74,0.537887305710004
4.76,0.5386595864932873
4.78,0.5394258123992416
4.8,0.5401860314287864
4.82,0.540940291259692
4.84,0.5416886392515855
4.86,0.5424311224509585
4.88,0.5431677730177177
4.9,0.5438986429517025
4.92,0.5446237806112025
