"time","fdt.y"
22.75,7.370777630227097
22.8125,7.408164394109435
22.875,7.444642628034064
22.9375,7.480234367152736
23,7.514961006451822
23.0625,7.548843639294072
23.125,7.5819022238251
23.1875,7.614157224516399
23.25,7.6456283864079095
23.3125,7.676334590391642
23.375,7.70629442975486
23.4375,7.735526264388546
23.5,7.764047707019177
23.5625,7.7918761627897455
23.625,7.819028630122387
23.6875,7.845521364094972
23.75,7.871370328114889
23.8125,7.896591061071206
23.875,7.921198860789192
23.9375,7.945208533243096
24,7.968634611702037
24.0625,7.9914913718901515
24.125,8.013792576761428
24.1875,8.035551749347793
24.25,8.056782160500518
24.3125,8.077496609145289
24.375,8.097707598893992
24.4375,8.117427368953768
24.5,8.136667869774927
24.5625,8.155440747807184
24.625,8.173757372671519
24.6875,8.19162882724719
24.75,8.209065953661536
24.8125,8.226079295117701
24.875,8.242679159268258
24.9375,8.258875573158901
25,8.274678369757432
25.0625,8.290097094251559
25.125,8.305141089740697
25.1875,8.319819442391621
25.25,8.334141065772448
25.3125,8.348114613289916
25.375,8.361748552751855
25.4375,8.375051115334625
25.5,8.388030385253531
25.5625,8.40069421741368
25.625,8.413050272637658
25.6875,8.425106032220853
25.75,8.43686877128634
25.8125,8.448345652445004
25.875,8.459543593957065
25.9375,8.470469388403659
26,8.481129640279109
26.0625,8.491530796743843
26.125,8.501679176253926
26.1875,8.51158089933554
26.25,8.521241996355212
26.3125,8.530668298162233
26.375,8.539865495304403
26.4375,8.548839184328317
26.5,8.557594785869435
26.5625,8.566137564237167
26.625,8.574472701670226
26.6875,8.582605293693542
26.75,8.590540204026683
26.8125,8.598282245970294
26.875,8.605836154180823
26.9375,8.613206454822414
27,8.620397616859742
27.0625,8.627414029680695
27.125,8.634259903153776
27.1875,8.640939392181902
27.25,8.64745658273651
27.3125,8.653815388688892
27.375,8.660019641585343
27.4375,8.666073129744937
27.5,8.671979560685658
27.5625,8.677742464866043
27.625,8.683365309004092
27.6875,8.688851526823779
27.75,8.6942044518149
27.8125,8.699427270014459
27.875,8.704523102783243
27.9375,8.709495121847382
28,8.71434635918712
28.0625,8.719079689567826
28.125,8.723697950882583
28.1875,8.728203994665444
28.25,8.732600537748874
28.3125,8.736890196028812
28.375,8.741075531374973
28.4375,8.745159188275556
28.5,8.749143618227642
28.5625,8.753031198477576
28.625,8.75682426359832
28.6875,8.760525136807887
28.75,8.764136035763043
28.8125,8.767659124570146
28.875,8.771096513730617
28.9375,8.774450352279272
29,8.777722650863323
29.0625,8.78091540023076
29.125,8.784030551434592
29.1875,8.787069957393799
29.25,8.790035489168153
29.3125,8.792928955407405
29.375,8.795752120869842
29.4375,8.798506663529688
29.5,8.801194269791255
29.5625,8.803816566109658
29.625,8.806375138140913
29.6875,8.808871538297124
29.75,8.811307270566733
29.8125,8.813683803424885
29.875,8.816002571511195
29.9375,8.818264989836077
30,8.820472419110928
30.00000000600005,8.820472419320247
30.00000000600005,8.820472419320247
30.0625,9.0390516326756
30.125,9.252417071421
30.1875,9.460598158886164
30.25,9.663719652683413
30.3125,9.861904489727156
30.375,10.055272528734385
30.4375,10.243940925566143
30.5,10.428023297623014
30.5625,10.607631019936491
30.625,10.782873710754288
30.6875,10.953856861886935
30.75,11.1206845774105
30.8125,11.283458042512718
30.875,11.442275600952343
30.9375,11.597233465141452
31,11.748425983526504
31.0625,11.89594488552555
31.125,12.03987871171091
31.1875,12.180314238299296
31.25,12.317336847149368
31.3125,12.451029529755067
31.375,12.581472783059674
31.4375,12.70874593815953
31.5,12.8329255754862
31.5625,12.954087144797713
31.625,13.072304024829986
31.6875,13.187647594239468
31.75,13.300187998406319
31.8125,13.409993079018573
31.875,13.517129524648107
31.9375,13.621662167342391
32,13.723654109037993
32.0625,13.82316732706667
32.125,13.92026193258032
32.1875,14.014996666873763
32.25,14.107428833937844
32.3125,14.197614372604898
32.375,14.285607950397251
32.4375,14.37146280791026
32.5,14.455230962560053
32.5625,14.536963203887648
32.625,14.616709027782422
32.6875,14.694516574468935
32.75,14.77043318006899
