"time","voltageSensor.v"
22.75,7.370777122603494
22.8125,7.4081630984408235
22.875,7.444640726829965
22.9375,7.480231059776824
23,7.514957032578004
23.0625,7.54883826239405
23.125,7.581896820909114
23.1875,7.614151184034692
23.25,7.645622327228521
23.3125,7.676328106626555
23.375,7.706288062417028
23.4375,7.735520051101787
23.5,7.764041730680574
23.5625,7.79187061500878
23.625,7.819023643473159
23.6875,7.845517040544092
23.75,7.8713666186791835
23.8125,7.896587919708928
23.875,7.9211959229135385
23.9375,7.945206278337774
24,7.968633241164202
24.0625,7.991490765968367
24.125,8.013792570450704
24.1875,8.035552620919576
24.25,8.05678375158447
24.3125,8.077498698445446
24.375,8.097710025480986
24.4375,8.11743034894176
24.5,8.136671328249577
24.5625,8.155444534046016
24.625,8.173761457410167
24.6875,8.19163331432351
24.75,8.20907075463256
24.8125,8.226084250363705
24.875,8.242684346779397
24.9375,8.258881054124096
25,8.274684057631521
25.0625,8.290102836584765
25.125,8.30514698164254
25.1875,8.319825463510785
25.25,8.334147155809704
25.3125,8.348120714197963
25.375,8.361754582177472
25.4375,8.375056996898143
25.5,8.388035994962681
25.5625,8.40069945467288
25.625,8.413055074476532
25.6875,8.425110315332017
25.75,8.436872493556699
25.8125,8.448348758181064
25.875,8.459546097078572
25.9375,8.470471343095548
26,8.481131180181055
26.0625,8.491531614158532
26.125,8.501679212546708
26.1875,8.51158017666651
26.25,8.521240538338821
26.3125,8.530666193980666
26.375,8.539862909645969
26.4375,8.548836326066338
26.5,8.557591710073309
26.5625,8.566134058330626
26.625,8.57446885529508
26.6875,8.58260116757711
26.75,8.59053594449841
26.8125,8.598278022105765
26.875,8.605832127184868
26.9375,8.613202655596014
27,8.620394021739981
27.0625,8.627410693737097
27.125,8.634256926900251
27.1875,8.640936877074923
27.25,8.647454604051534
27.3125,8.653814074977754
27.375,8.660018913753003
27.4375,8.66607293587494
27.5,8.671979837883711
27.5625,8.6777431868121
27.625,8.683366465237818
27.6875,8.688853074169016
27.75,8.694206333231648
27.8125,8.699429376614068
27.875,8.704525421493349
27.9375,8.70949755073326
28,8.714348776929954
28.0625,8.719082045099087
28.125,8.723700235362955
28.1875,8.728206136989911
28.25,8.732602399868844
28.3125,8.736891766906515
28.375,8.741076858302227
28.4375,8.74516023873273
28.5,8.749144419782377
28.5625,8.753031862373277
28.625,8.756824805313508
28.6875,8.760525403211911
28.75,8.764136057679968
28.8125,8.767658965930396
28.875,8.7710962741346
28.9375,8.774450079071215
29,8.77772242977466
29.0625,8.780915239854696
29.125,8.78403044255712
29.1875,8.787069961033975
29.25,8.790035640857417
29.3125,8.79292928391669
29.375,8.795752649809252
29.4375,8.7985074572319
29.5,8.801195263413536
29.5625,8.803817734486621
29.625,8.806376461577004
29.6875,8.808872984600415
29.75,8.811308805397854
29.8125,8.813685388875784
29.875,8.816004168653105
29.9375,8.818266594236837
30,8.820474005405636
30.00000000600005,8.82047400561495
